id;title;content;date;state;level;visit
1;mobile Fish;../fake-data/blob/hipster.txt;2019-12-19T02:57:25;59865;SIMPLE;45924
2;seamless Metal deposit;../fake-data/blob/hipster.txt;2019-12-19T20:18:56;96990;SIMPLE;61748
3;Home Loan Account;../fake-data/blob/hipster.txt;2019-12-19T21:29:59;43194;INTERMEDIATE;39986
4;Gorgeous Frozen Pants;../fake-data/blob/hipster.txt;2019-12-19T16:04:58;45606;SIMPLE;38246
5;Planner Canyon;../fake-data/blob/hipster.txt;2019-12-19T01:01:51;60754;DIFFICULT;38541
6;Music;../fake-data/blob/hipster.txt;2019-12-19T16:07:40;68423;SIMPLE;60999
7;backing up Salad;../fake-data/blob/hipster.txt;2019-12-19T12:17:02;25877;SIMPLE;42515
8;sky blue Georgia;../fake-data/blob/hipster.txt;2019-12-19T20:55:04;96958;INTERMEDIATE;72727
9;archive Georgia Aruba;../fake-data/blob/hipster.txt;2019-12-18T22:36:05;32533;INTERMEDIATE;96525
10;Home Loan Account;../fake-data/blob/hipster.txt;2019-12-19T15:02:43;14092;SIMPLE;1563
