id;title;description;description_content_type;date;level;visit
1;Virginia THX pink;../fake-data/blob/hipster.png;image/png;2019-12-19T14:58:36;DIFFICULT;88708
2;optical invoice;../fake-data/blob/hipster.png;image/png;2019-12-19T19:39:01;SIMPLE;37228
3;Branding;../fake-data/blob/hipster.png;image/png;2019-12-18T22:18:07;SIMPLE;54873
4;Cayman Islands Dollar invoice;../fake-data/blob/hipster.png;image/png;2019-12-19T16:17:14;SIMPLE;49389
5;Fish;../fake-data/blob/hipster.png;image/png;2019-12-19T12:52:28;SIMPLE;56830
6;Sleek turn-key;../fake-data/blob/hipster.png;image/png;2019-12-19T15:18:17;DIFFICULT;97889
7;Cambridgeshire Investor;../fake-data/blob/hipster.png;image/png;2019-12-19T11:14:39;DIFFICULT;19524
8;sensor;../fake-data/blob/hipster.png;image/png;2019-12-19T14:55:52;SIMPLE;99455
9;Villages uniform PCI;../fake-data/blob/hipster.png;image/png;2019-12-19T03:43:28;SIMPLE;42818
10;Planner Strategist;../fake-data/blob/hipster.png;image/png;2019-12-19T01:11:51;INTERMEDIATE;19091
