id;title;date;state;file;file_content_type;content;donwload
1;deliverables reinvent 24 hour;2019-12-19T21:19:53;81546;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;19884
2;monitor 1080p Checking Account;2019-12-18T23:26:18;35846;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;65107
3;Internal;2019-12-19T01:16:07;62329;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;44945
4;Ergonomic;2019-12-19T12:46:12;31098;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;66884
5;payment;2019-12-19T07:28:42;63755;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;27472
6;Mississippi embrace Developer;2019-12-19T01:17:45;76078;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;72172
7;Robust Networked;2019-12-19T20:41:57;52273;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;71066
8;Small partnerships;2019-12-19T16:49:42;3142;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;89576
9;Harbor Montana;2019-12-19T04:58:38;90756;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;13933
10;Investment Account;2019-12-19T08:42:48;75555;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;20306
